우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
30065|세종특별자치시|Sejong-si|||||361103258091|라온로|Raon-ro|0|7|0|3611010500107550010000001|||3611010500|가람동|||0|755|01|10||
30065|세종특별자치시|Sejong-si|||||361103258061|금송로|Geumsong-ro|0|650|0|3611010500100190001000001|||3611010500|가람동|||0|19|02|1||
30065|세종특별자치시|Sejong-si|||||361103258061|금송로|Geumsong-ro|0|612|0|3611010500105290000000001|||3611010500|가람동|||0|960|02|0||
30065|세종특별자치시|Sejong-si|||||361103258091|라온로|Raon-ro|0|102|0|3611010500106530000000001|||3611010500|가람동|||0|954|01|0||
30065|세종특별자치시|Sejong-si|||||361103258061|금송로|Geumsong-ro|0|595|0|3611010500106190000000001||SK남세종충전소|3611010500|가람동||한솔동|0|619|02|0||
30065|세종특별자치시|Sejong-si|||||361103258061|금송로|Geumsong-ro|0|625|0|3611010500105120002000001|||3611010500|가람동|||0|957|02|0||
30065|세종특별자치시|Sejong-si|||||361103258061|금송로|Geumsong-ro|0|687|0|3611010500104060000000001||이마트세종점|3611010500|가람동|||0|406|02|0||
30065|세종특별자치시|Sejong-si|||||361103258091|라온로|Raon-ro|0|66|0|3611010500107110001000001||주택성능연구개발센터|3611010500|가람동|||0|711|01|1||
30065|세종특별자치시|Sejong-si|||||361103258091|라온로|Raon-ro|0|82|0|3611010500106480000000001||폐기물연료화시설|3611010500|가람동||한솔동|0|953|01|0||
30065|세종특별자치시|Sejong-si|||||361103258091|라온로|Raon-ro|0|121|0|3611010500105120002000009|||3611010500|가람동|||0|641|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|9|3611011200201000000000005||강남빌딩|3611011200|고운동|||0|1375|01|0||
30101|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|136|0|3611011200114040000000001||고운self주유소|3611011200|고운동||고운동|0|1404|01|0||
30063|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|93|0|3611011200107390148000001||고운고등학교|3611011200|고운동|||0|1415|01|0||
30101|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|78|27|3611011200108210000000001||고운동배수지|3611011200|고운동|||0|821|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|284|0|3611011200113820000000001||고운동주민센터|3611011200|고운동||고운동|0|1382|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|22|3611011200201000000000004||고운드림|3611011200|고운동|||0|1379|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|241|0|3611011200201050000000004||고운드림55|3611011200|고운동|||0|1006|01|0||
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|169|0|3611011200107850000000001||고운뜰|3611011200|고운동|||0|1220|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|151|0|3611011200108210000000002||고운뜰공원관리사무소|3611011200|고운동|||0|821|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|4|3611011200113720000000001||고운메디프라자|3611011200|고운동|||0|1372|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|242|0|3611011200201050000000001||고운빌딩|3611011200|고운동|||0|1155|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|6|0|3611011200107390014000001||고운상가|3611011200|고운동|||0|2006|01|0||
30063|세종특별자치시|Sejong-si|||||361104574745|만남로8길|Mannam-ro 8-gil|0|24|1|3611011200117450000000001||고운상가|3611011200|고운동||고운동|0|1745|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|3|3611011200113730000000001||고운에듀프라자|3611011200|고운동|||0|1373|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|47|0|3611011200202380000000002||고운유치원|3611011200|고운동|||0|1711|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|65|0|3611011200107390108000001||고운중학교|3611011200|고운동|||0|1710|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|45|0|3611011200202380000000001||고운초등학교|3611011200|고운동|||0|1711|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|264|0|3611011200200970000000001||고운프라자|3611011200|고운동||고운동|0|1370|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|239|0|3611011200201050000000005||고은드림56|3611011200|고운동|||0|1007|01|0||
30063|세종특별자치시|Sejong-si|||||361104853496|고운서길|Gounseo-gil|0|7|0|3611011200202350000000014||골드프라자|3611011200|고운동||고운동|0|1721|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|74|0|3611011200202350000000013||그랜드프라자|3611011200|고운동|||0|1719|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|174|0|3611011200101710000000001||온빛초등학교|3611011200|고운동|||0|1398|01|0||
30063|세종특별자치시|Sejong-si|||||361104853202|고운서2길|Gounseo 2-gil|0|8|0|3611011200202350000000016||원빌딩|3611011200|고운동||고운동|0|1525|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|130|0|3611011200202320000000008||으뜸유치원|3611011200|고운동|||0|1413|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|132|0|3611011200202320000000007||으뜸초등학교|3611011200|고운동|||0|1413|01|0||
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|167|0|3611011200200990000000001||이경빌딩|3611011200|고운동|||0|1221|01|0||
30101|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|152|0|3611011200107040002000001||자동크린넷2차|3611011200|고운동|||0|820|01|0||
30063|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|69|0|3611011200202050000000001||진웅캐슬|3611011200|고운동||고운동|0|1641|01|0||
30063|세종특별자치시|Sejong-si|||||361104853496|고운서길|Gounseo-gil|0|20|0|3611011200117160000000001||참샘빌딩|3611011200|고운동||고운동|0|1716|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|11|3611011200201000000000003||테라스힐빌딩|3611011200|고운동|||0|1376|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|5|3611011200113740000000001||티앤스타빌딩|3611011200|고운동|||0|1374|01|0||
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|157|0|3611011200107010001000001||하나빌딩|3611011200|고운동||고운동|0|1359|01|0||
30063|세종특별자치시|Sejong-si|||||361104853496|고운서길|Gounseo-gil|0|15|0|3611011200117230000000001||하모니타워Ⅰ|3611011200|고운동|||0|1723|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|28|3611011200113800000000001||하모니타워Ⅱ|3611011200|고운동|||0|1380|01|0||
30063|세종특별자치시|Sejong-si|||||361104574747|만남로3길|Mannam-ro 3-gil|0|71|0|3611011200202390000000007||형제집|3611011200|고운동||고운동|0|1807|01|0||
30063|세종특별자치시|Sejong-si|||||361104853496|고운서길|Gounseo-gil|0|14|0|3611011200202350000000015||금화빌딩|3611011200|고운동||고운동|0|1714|01|0||
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|159|0|3611011200107010001000002||나림빌딩|3611011200|고운동|||0|1360|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|96|0|3611011200202350000000017||다산근생|3611011200|고운동|||0|1532|01|0||
30063|세종특별자치시|Sejong-si|||||361104574747|만남로3길|Mannam-ro 3-gil|0|51|0|3611011200117900000000001||단독주택|3611011200|고운동|||0|1790|01|0||
30063|세종특별자치시|Sejong-si|||||361104574741|만남로4길|Mannam-ro 4-gil|0|64|0|3611011200119600000000001||단독주택|3611011200|고운동|||0|1960|01|0||
30063|세종특별자치시|Sejong-si|||||361104853204|고운서4길|Gounseo 4-gil|0|40|0|3611011200116830000000001||단독주택|3611011200|고운동|||0|1683|01|0||
30063|세종특별자치시|Sejong-si|||||361104574747|만남로3길|Mannam-ro 3-gil|0|55|0|3611011200118290000000001||단독주택|3611011200|고운동|||0|1829|01|0||
30063|세종특별자치시|Sejong-si|||||361104853496|고운서길|Gounseo-gil|0|10|0|3611011200202350000000012||대현빌딩|3611011200|고운동||고운동|0|1713|01|0||
30062|세종특별자치시|Sejong-si|||||361103258110|마음안1로|Maeuman 1-ro|0|53|0|3611011200107250000000001||두루고등학교|3611011200|고운동|||0|898|01|0||
30062|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|223|0|3611011200200790000000001||두루유치원|3611011200|고운동|||1|79|01|0||
30062|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|211|0|3611011200104940001000001||두루중학교|3611011200|고운동|||0|494|01|1||
30062|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|227|0|3611011200200790000000002||두루초등학교|3611011200|고운동|||0|1384|01|0||
30063|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|73|0|3611011200202150000000001||두리빌딩|3611011200|고운동||고운동|0|1639|01|0||
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|163|0|3611011200107010003000001||로뎀빌딩Ⅰ|3611011200|고운동|||0|1364|01|0||
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|161|0|3611011200107010001000003||로뎀빌딩Ⅱ|3611011200|고운동||고운동|0|1363|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|136|0|3611011200201670000000004||명품프라자|3611011200|고운동|||1|167|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|94|0|3611011200115330000000001||부성빌딩|3611011200|고운동|||0|1533|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|146|0|3611011200201670000000001||삼성프라자|3611011200|고운동|||1|167|01|0||
30062|세종특별자치시|Sejong-si|||||361103258110|마음안1로|Maeuman 1-ro|0|155|0|3611011200200970000000002||성진프라자|3611011200|고운동||고운동|0|1369|01|0||
30062|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|326|14|3611011200104700005000001||세종누리학교|3611011200|고운동|||0|470|01|5||
30063|세종특별자치시|Sejong-si|||||361104574746|만남로1길|Mannam-ro 1-gil|0|3|0|3611011200202390000000001||세종디엔씨빌딩|3611011200|고운동||고운동|0|1898|01|0||
30101|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|130|0|3611011200107360001000001||세종성당|3611011200|고운동||고운동|0|1405|01|0||
30063|세종특별자치시|Sejong-si|||||361104574747|만남로3길|Mannam-ro 3-gil|0|69|0|3611011200202390000000004||BT빌딩|3611011200|고운동||고운동|0|1806|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|233|0|3611011200106910000000001||GSD빌딩|3611011200|고운동|||0|1038|01|0||
30063|세종특별자치시|Sejong-si|||||361104574747|만남로3길|Mannam-ro 3-gil|0|5|0|3611011200119010000000001||JJ빌딩|3611011200|고운동||고운동|0|1901|01|0||
