"일련번호","시장/마트 번호","시장/마트 이름","품목 번호","품목 이름","실판매규격","가격(원)","년도-월","비고","점검일자","시장유형 구분(시장/마트) 코드","시장유형 구분(시장/마트) 이름","자치구 코드","자치구 이름"
"1302626","202","구로시장","28","사과","1개","1000","2018-10","국내산","2018-10-01","001","전통시장","530000","구로구"
"1302627","202","구로시장","306","배(신고 600g)","1개","2500","2018-10","4개10000","2018-10-01","001","전통시장","530000","구로구"
"1302628","202","구로시장","307","배추(2.5~3kg)","1포기","4000","2018-10","국내산","2018-10-01","001","전통시장","530000","구로구"
"1302629","202","구로시장","308","무(1kg)","1개","1500","2018-10","국내산","2018-10-01","001","전통시장","530000","구로구"
"1302630","202","구로시장","309","양파(1.5kg망)","1망","2500","2018-10","국내산","2018-10-01","001","전통시장","530000","구로구"
"1302631","202","구로시장","310","상추(100g)","적상추","1000","2018-10","1근400g4000","2018-10-01","001","전통시장","530000","구로구"
"1302632","202","구로시장","311","오이(다다기)","1개","400","2018-10","4개2000","2018-10-01","001","전통시장","530000","구로구"
"1302633","202","구로시장","312","애호박","1개","500","2018-10","2개1000","2018-10-01","001","전통시장","530000","구로구"
"1302634","202","구로시장","58","쇠고기(한우불고기)","600g","30000","2018-10","국내산","2018-10-01","001","전통시장","530000","구로구"
"1302635","202","구로시장","202","돼지고기(생삼겹살)","600g","16000","2018-10","국내산","2018-10-01","001","전통시장","530000","구로구"
"1302636","202","구로시장","283","닭고기(육계)","1마리","5000","2018-10","국내산","2018-10-01","001","전통시장","530000","구로구"
"1302637","202","구로시장","171","달걀(10개)","특란","2000","2018-10","국내산","2018-10-01","001","전통시장","530000","구로구"
"1302638","202","구로시장","320","달걀(30개)","특란","4800","2018-10","국내산","2018-10-01","001","전통시장","530000","구로구"
"1302639","202","구로시장","259","조기(냉동국산)","1마리","3000","2018-10","부세","2018-10-01","001","전통시장","530000","구로구"
"1302640","202","구로시장","152","명태(러시아냉동)","1마리","2000","2018-10","수입","2018-10-01","001","전통시장","530000","구로구"
"1302641","202","구로시장","256","오징어(냉동국산)","1마리","4000","2018-10","2마리8000","2018-10-01","001","전통시장","530000","구로구"
"1302642","202","구로시장","266","고등어(생물국산)","1마리","2000","2018-10","국내산","2018-10-01","001","전통시장","530000","구로구"
"1312299","16","현대백화점 미아점","305","사과(부사 300g)","1개","3600","2018-10","국내 5입 봉 18000원","2018-10-22","002","대형마트","290000","성북구"
"1312300","16","현대백화점 미아점","306","배(신고 600g)","1개","7667","2018-10","신고 3입 팩 23000원","2018-10-22","002","대형마트","290000","성북구"
"1312301","16","현대백화점 미아점","307","배추(2.5~3kg)","1포기","5000","2018-10","국내","2018-10-22","002","대형마트","290000","성북구"
"1312302","16","현대백화점 미아점","25","무","1개","4200","2018-10","국내","2018-10-22","002","대형마트","290000","성북구"
"1312303","16","현대백화점 미아점","309","양파(1.5kg망)","1.5kg","3800","2018-10","국내","2018-10-22","002","대형마트","290000","성북구"
"1312304","16","현대백화점 미아점","23","상추","100g","1500","2018-10","국내","2018-10-22","002","대형마트","290000","성북구"
"1312305","16","현대백화점 미아점","311","오이(다다기)","1개","1100","2018-10","국내 5개 5500원","2018-10-22","002","대형마트","290000","성북구"
"1312306","16","현대백화점 미아점","312","애호박","1개","1800","2018-10","국내","2018-10-22","002","대형마트","290000","성북구"
"1312307","16","현대백화점 미아점","58","쇠고기(한우불고기)","600g","35520","2018-10","한우암소 100g 5920원","2018-10-22","002","대형마트","290000","성북구"
"1312308","16","현대백화점 미아점","202","돼지고기(생삼겹살)","600g","22400","2018-10","선진포크 100g 3740원","2018-10-22","002","대형마트","290000","성북구"
"1312309","16","현대백화점 미아점","283","닭고기(육계)","1kg","10000","2018-10","자연실록9호 830g 8300원","2018-10-22","002","대형마트","290000","성북구"
"1312310","16","현대백화점 미아점","171","달걀(10개)","10개","3800","2018-10","텃골1등급","2018-10-22","002","대형마트","290000","성북구"
"1312311","16","현대백화점 미아점","320","달걀(30개)","30개","0","2018-10","입고안됨","2018-10-22","002","대형마트","290000","성북구"
"1312312","16","현대백화점 미아점","136","조기(국산생물)","1마리","0","2018-10","입고안됨","2018-10-22","002","대형마트","290000","성북구"
"1312313","16","현대백화점 미아점","152","명태(러시아냉동)","1마리","0","2018-10","입고안됨","2018-10-22","002","대형마트","290000","성북구"
"1312314","16","현대백화점 미아점","254","오징어(생물국산)","1마리","6500","2018-10","국내","2018-10-22","002","대형마트","290000","성북구"
"1312315","16","현대백화점 미아점","266","고등어(생물국산)","1마리","10000","2018-10","국내","2018-10-22","002","대형마트","290000","성북구"
"1312316","15","이마트 미아점","305","사과(부사 300g)","1개","1495","2018-10","햇사과 4개 5980원","2018-10-22","002","대형마트","290000","성북구"
"1312317","15","이마트 미아점","306","배(신고 600g)","1개","2475","2018-10","저탄소 4개 9900원","2018-10-22","002","대형마트","290000","성북구"
